xflr5 v6.58

Plane name :, ehsemflap
Polar name :, T1-14.0 m/s-VLM2
Freestream speed :, 14.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.368572,   0.019296,   0.009979,   0.029275,   0.000000,   0.000000,   0.140824,  -0.000000,   0.000000,   14.0000,    0.0800
   -4.500,     0.000,  -0.345677,   0.016963,   0.010101,   0.027065,   0.000000,   0.000000,   0.135876,  -0.000000,  -0.000000,   14.0000,    0.0823
   -4.000,     0.000,  -0.322704,   0.014776,   0.010253,   0.025030,   0.000000,   0.000000,   0.130908,  -0.000000,  -0.000000,   14.0000,    0.0849
   -3.500,     0.000,  -0.299659,   0.012736,   0.010448,   0.023184,   0.000000,   0.000000,   0.125920,  -0.000000,   0.000000,   14.0000,    0.0880
   -3.000,     0.000,  -0.276547,   0.010843,   0.010685,   0.021529,   0.000000,   0.000000,   0.120914,  -0.000000,  -0.000000,   14.0000,    0.0916
   -2.500,     0.000,  -0.253374,   0.009100,   0.010993,   0.020093,   0.000000,   0.000000,   0.115891,  -0.000000,   0.000000,   14.0000,    0.0958
   -2.000,     0.000,  -0.230146,   0.007507,   0.011325,   0.018832,   0.000000,   0.000000,   0.110853,  -0.000000,  -0.000000,   14.0000,    0.1009
   -1.500,     0.000,  -0.206869,   0.006065,   0.011693,   0.017758,   0.000000,   0.000000,   0.105800,  -0.000000,  -0.000000,   14.0000,    0.1072
   -1.000,     0.000,  -0.183549,   0.004775,   0.012136,   0.016912,   0.000000,   0.000000,   0.100734,  -0.000000,  -0.000000,   14.0000,    0.1151
   -0.500,     0.000,  -0.160190,   0.003639,   0.012799,   0.016438,   0.000000,   0.000000,   0.095657,  -0.000000,  -0.000000,   14.0000,    0.1253
    0.000,     0.000,  -0.136799,   0.002656,   0.013497,   0.016153,  -0.000000,   0.000000,   0.090568,  -0.000000,  -0.000000,   14.0000,    0.1391
    0.500,     0.000,  -0.113382,   0.001827,   0.014075,   0.015902,  -0.000000,   0.000000,   0.085469,  -0.000000,  -0.000000,   14.0000,    0.1585
    1.000,     0.000,  -0.089945,   0.001153,   0.014575,   0.015728,  -0.000000,   0.000000,   0.080363,  -0.000000,  -0.000000,   14.0000,    0.1880
    1.500,     0.000,  -0.066493,   0.000634,   0.015039,   0.015673,  -0.000000,   0.000000,   0.075252,  -0.000000,  -0.000000,   14.0000,    0.2384
    2.000,     0.000,  -0.043033,   0.000270,   0.015498,   0.015768,  -0.000000,   0.000000,   0.070136,  -0.000000,  -0.000000,   14.0000,    0.3437
    2.500,     0.000,  -0.019569,   0.000061,   0.015974,   0.016035,   0.000000,   0.000000,   0.065017,  -0.000000,   0.000000,   14.0000,    0.7016
    3.000,     0.000,   0.003891,   0.000007,   0.016711,   0.016718,   0.000000,   0.000000,   0.059893,  -0.000000,  -0.000000,   14.0000,   -3.2558
    3.500,     0.000,   0.027343,   0.000109,   0.017591,   0.017700,   0.000000,  -0.000000,   0.054765,  -0.000000,  -0.000000,   14.0000,   -0.4245
    4.000,     0.000,   0.050780,   0.000365,   0.018613,   0.018978,   0.000000,  -0.000000,   0.049635,   0.000000,  -0.000000,   14.0000,   -0.2076
    4.500,     0.000,   0.074196,   0.000775,   0.020386,   0.021160,   0.000000,  -0.000000,   0.044490,   0.000000,   0.000000,   14.0000,   -0.1277
    5.000,     0.000,   0.097586,   0.001339,   0.022393,   0.023732,   0.000000,  -0.000000,   0.039340,   0.000000,  -0.000000,   14.0000,   -0.0862
    5.500,     0.000,   0.120944,   0.002056,   0.025049,   0.027104,   0.000000,  -0.000000,   0.034172,   0.000000,   0.000000,   14.0000,   -0.0607
    6.000,     0.000,   0.144264,   0.002925,   0.028152,   0.031077,   0.000000,  -0.000000,   0.028991,   0.000000,   0.000000,   14.0000,   -0.0435
    6.500,     0.000,   0.167541,   0.003946,   0.031338,   0.035284,   0.000000,  -0.000000,   0.023805,   0.000000,  -0.000000,   14.0000,   -0.0311
    7.000,     0.000,   0.190768,   0.005118,   0.033817,   0.038934,   0.000000,  -0.000000,   0.018641,   0.000000,  -0.000000,   14.0000,   -0.0217
    7.500,     0.000,   0.213939,   0.006439,   0.036004,   0.042443,   0.000000,  -0.000000,   0.013492,   0.000000,   0.000000,   14.0000,   -0.0144
    8.000,     0.000,   0.237051,   0.007908,   0.039809,   0.047716,   0.000000,  -0.000000,   0.008290,   0.000000,  -0.000000,   14.0000,   -0.0085
    8.500,     0.000,   0.260095,   0.009524,   0.044649,   0.054173,   0.000000,  -0.000000,   0.003050,   0.000000,  -0.000000,   14.0000,   -0.0036
