xflr5 v6.58

Plane name :, ehcomflap
Polar name :, T1-14.0 m/s-VLM2
Freestream speed :, 14.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.853546,   0.103878,   0.038961,   0.142839,   0.000000,  -0.000000,   0.399852,  -0.000000,   0.000000,   14.0000,    0.0981
   -4.500,     0.000,  -0.832495,   0.098644,   0.039449,   0.138094,   0.000000,  -0.000000,   0.395481,  -0.000000,   0.000000,   14.0000,    0.0994
   -4.000,     0.000,  -0.811279,   0.093521,   0.039743,   0.133264,   0.000000,  -0.000000,   0.391040,  -0.000000,  -0.000000,   14.0000,    0.1009
   -3.500,     0.000,  -0.789903,   0.088510,   0.040003,   0.128513,   0.000000,  -0.000000,   0.386539,  -0.000000,   0.000000,   14.0000,    0.1024
   -3.000,     0.000,  -0.768372,   0.083615,   0.040253,   0.123869,   0.000000,  -0.000000,   0.381978,  -0.000000,   0.000000,   14.0000,    0.1040
   -2.500,     0.000,  -0.746690,   0.078839,   0.040495,   0.119334,   0.000000,   0.000000,   0.377360,  -0.000000,  -0.000000,   14.0000,    0.1058
   -2.000,     0.000,  -0.724863,   0.074185,   0.040728,   0.114913,   0.000000,   0.000000,   0.372685,  -0.000000,   0.000000,   14.0000,    0.1076
   -1.500,     0.000,  -0.702896,   0.069654,   0.040960,   0.110614,   0.000000,   0.000000,   0.367956,  -0.000000,   0.000000,   14.0000,    0.1096
   -1.000,     0.000,  -0.680793,   0.065250,   0.041186,   0.106437,   0.000000,   0.000000,   0.363174,  -0.000000,   0.000000,   14.0000,    0.1117
   -0.500,     0.000,  -0.658560,   0.060976,   0.041363,   0.102339,   0.000000,  -0.000000,   0.358339,  -0.000000,   0.000000,   14.0000,    0.1140
    0.000,     0.000,  -0.636203,   0.056832,   0.041381,   0.098213,   0.000000,  -0.000000,   0.353451,  -0.000000,   0.000000,   14.0000,    0.1164
    0.500,     0.000,  -0.613725,   0.052823,   0.041316,   0.094139,   0.000000,  -0.000000,   0.348515,  -0.000000,   0.000000,   14.0000,    0.1191
    1.000,     0.000,  -0.591134,   0.048949,   0.041230,   0.090179,   0.000000,   0.000000,   0.343532,  -0.000000,   0.000000,   14.0000,    0.1219
    1.500,     0.000,  -0.568433,   0.045212,   0.041112,   0.086325,   0.000000,   0.000000,   0.338504,   0.000000,   0.000000,   14.0000,    0.1250
    2.000,     0.000,  -0.545630,   0.041616,   0.040958,   0.082574,   0.000000,   0.000000,   0.333433,  -0.000000,   0.000000,   14.0000,    0.1284
    2.500,     0.000,  -0.522728,   0.038160,   0.040760,   0.078921,   0.000000,   0.000000,   0.328321,  -0.000000,  -0.000000,   14.0000,    0.1320
    3.000,     0.000,  -0.499734,   0.034848,   0.040536,   0.075385,   0.000000,   0.000000,   0.323170,  -0.000000,   0.000000,   14.0000,    0.1361
    3.500,     0.000,  -0.476653,   0.031681,   0.040344,   0.072025,   0.000000,   0.000000,   0.317981,   0.000000,  -0.000000,   14.0000,    0.1405
    4.000,     0.000,  -0.453491,   0.028660,   0.040136,   0.068796,   0.000000,   0.000000,   0.312755,   0.000000,   0.000000,   14.0000,    0.1454
    4.500,     0.000,  -0.430254,   0.025786,   0.039842,   0.065629,   0.000000,   0.000000,   0.307496,   0.000000,   0.000000,   14.0000,    0.1508
    5.000,     0.000,  -0.406947,   0.023062,   0.039525,   0.062587,   0.000000,   0.000000,   0.302203,   0.000000,  -0.000000,   14.0000,    0.1569
    5.500,     0.000,  -0.383576,   0.020487,   0.039190,   0.059677,   0.000000,   0.000000,   0.296880,   0.000000,   0.000000,   14.0000,    0.1637
    6.000,     0.000,  -0.360146,   0.018063,   0.038940,   0.057003,   0.000000,   0.000000,   0.291527,   0.000000,   0.000000,   14.0000,    0.1714
    6.500,     0.000,  -0.336664,   0.015790,   0.038824,   0.054615,   0.000000,   0.000000,   0.286144,   0.000000,   0.000000,   14.0000,    0.1803
    7.000,     0.000,  -0.313136,   0.013671,   0.038928,   0.052598,   0.000000,   0.000000,   0.280732,  -0.000000,  -0.000000,   14.0000,    0.1904
    7.500,     0.000,  -0.289566,   0.011704,   0.039332,   0.051037,   0.000000,   0.000000,   0.275289,  -0.000000,  -0.000000,   14.0000,    0.2022
    8.000,     0.000,  -0.265962,   0.009892,   0.040454,   0.050345,   0.000000,   0.000000,   0.269809,  -0.000000,  -0.000000,   14.0000,    0.2161
    8.500,     0.000,  -0.242329,   0.008233,   0.040537,   0.048770,   0.000000,   0.000000,   0.264320,   0.000000,  -0.000000,   14.0000,    0.2328
    9.000,     0.000,  -0.218672,   0.006729,   0.040721,   0.047451,   0.000000,   0.000000,   0.258808,  -0.000000,   0.000000,   14.0000,    0.2530
    9.500,     0.000,  -0.194998,   0.005380,   0.041593,   0.046973,   0.000000,   0.000000,   0.253260,  -0.000000,  -0.000000,   14.0000,    0.2781
   10.000,     0.000,  -0.171312,   0.004186,   0.042708,   0.046894,   0.000000,   0.000000,   0.247685,  -0.000000,  -0.000000,   14.0000,    0.3102
   10.500,     0.000,  -0.147620,   0.003146,   0.044175,   0.047321,   0.000000,   0.000000,   0.242079,  -0.000000,  -0.000000,   14.0000,    0.3526
   11.000,     0.000,  -0.123929,   0.002261,   0.046452,   0.048712,   0.000000,   0.000000,   0.236429,  -0.000000,   0.000000,   14.0000,    0.4111
   11.500,     0.000,  -0.100244,   0.001530,   0.048725,   0.050255,   0.000000,   0.000000,   0.230757,  -0.000000,   0.000000,   14.0000,    0.4973
   12.000,     0.000,  -0.076570,   0.000953,   0.051054,   0.052007,   0.000000,   0.000000,   0.225062,  -0.000000,  -0.000000,   14.0000,    0.6366
   12.500,     0.000,  -0.052915,   0.000529,   0.053425,   0.053954,   0.000000,   0.000000,   0.219347,  -0.000000,   0.000000,   14.0000,    0.9002
   13.000,     0.000,  -0.029282,   0.000258,   0.055788,   0.056046,   0.000000,   0.000000,   0.213615,  -0.000000,   0.000000,   14.0000,    1.5887
   13.500,     0.000,  -0.005679,   0.000139,   0.058135,   0.058274,   0.000000,   0.000000,   0.207867,  -0.000000,   0.000000,   14.0000,    7.9947
   14.000,     0.000,   0.017888,   0.000171,   0.060383,   0.060554,   0.000000,   0.000000,   0.202109,  -0.000000,  -0.000000,   14.0000,   -2.4757
   14.500,     0.000,   0.041416,   0.000353,   0.062643,   0.062996,   0.000000,   0.000000,   0.196339,  -0.000000,   0.000000,   14.0000,   -1.0422
   15.000,     0.000,   0.064896,   0.000684,   0.065105,   0.065790,   0.000000,   0.000000,   0.190550,  -0.000000,  -0.000000,   14.0000,   -0.6477
   15.500,     0.000,   0.088325,   0.001163,   0.067635,   0.068799,   0.000000,   0.000000,   0.184747,  -0.000000,   0.000000,   14.0000,   -0.4631
   16.000,     0.000,   0.111695,   0.001789,   0.070195,   0.071984,   0.000000,   0.000000,   0.178936,  -0.000000,   0.000000,   14.0000,   -0.3561
   16.500,     0.000,   0.135003,   0.002559,   0.072762,   0.075321,   0.000000,   0.000000,   0.173117,  -0.000000,  -0.000000,   14.0000,   -0.2862
   17.000,     0.000,   0.158241,   0.003473,   0.075332,   0.078805,   0.000000,   0.000000,   0.167294,  -0.000000,   0.000000,   14.0000,   -0.2370
   17.500,     0.000,   0.181405,   0.004529,   0.077853,   0.082382,   0.000000,   0.000000,   0.161470,  -0.000000,  -0.000000,   14.0000,   -0.2004
   18.000,     0.000,   0.204489,   0.005725,   0.080297,   0.086022,   0.000000,   0.000000,   0.155651,  -0.000000,   0.000000,   14.0000,   -0.1722
   18.500,     0.000,   0.227487,   0.007059,   0.082699,   0.089758,   0.000000,   0.000000,   0.149834,  -0.000000,  -0.000000,   14.0000,   -0.1497
   19.000,     0.000,   0.250395,   0.008529,   0.085067,   0.093596,   0.000000,   0.000000,   0.144023,  -0.000000,  -0.000000,   14.0000,   -0.1314
   19.500,     0.000,   0.273207,   0.010134,   0.087936,   0.098070,   0.000000,   0.000000,   0.138184,  -0.000000,  -0.000000,   14.0000,   -0.1163
   20.000,     0.000,   0.295917,   0.011870,   0.094518,   0.106388,   0.000000,   0.000000,   0.132099,  -0.000000,  -0.000000,   14.0000,   -0.1034


