xflr5 v6.58

Plane name :, Plane Name
Polar name :, T1-14.0 m/s-VLM2-3.5kg-x0.1m
Freestream speed :, 14.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.420398,   0.008304,   0.030432,   0.038736,  -0.000000,  -0.000000,  -0.254116,  -0.000000,  -0.000000,   14.0000,    0.2331
   -4.500,     0.000,   0.460207,   0.009865,   0.027505,   0.037370,  -0.000000,  -0.000000,  -0.251350,  -0.000000,   0.000000,   14.0000,    0.2182
   -4.000,     0.000,   0.499964,   0.011564,   0.024603,   0.036167,  -0.000000,  -0.000000,  -0.248572,  -0.000000,  -0.000000,   14.0000,    0.2056
   -3.500,     0.000,   0.539662,   0.013399,   0.021840,   0.035239,  -0.000000,  -0.000000,  -0.245783,  -0.000000,   0.000000,   14.0000,    0.1949
   -3.000,     0.000,   0.579293,   0.015370,   0.019490,   0.034860,  -0.000000,  -0.000000,  -0.242984,  -0.000000,  -0.000000,   14.0000,    0.1857
   -2.500,     0.000,   0.618852,   0.017476,   0.017398,   0.034874,  -0.000000,  -0.000000,  -0.240175,  -0.000000,   0.000000,   14.0000,    0.1777
   -2.000,     0.000,   0.658332,   0.019715,   0.016215,   0.035930,  -0.000000,  -0.000000,  -0.237357,   0.000000,  -0.000000,   14.0000,    0.1706
   -1.500,     0.000,   0.697726,   0.022088,   0.015412,   0.037500,  -0.000000,  -0.000000,  -0.234529,   0.000000,  -0.000000,   14.0000,    0.1644
   -1.000,     0.000,   0.737028,   0.024592,   0.014902,   0.039494,  -0.000000,  -0.000000,  -0.231690,   0.000000,   0.000000,   14.0000,    0.1588
   -0.500,     0.000,   0.776232,   0.027226,   0.014654,   0.041880,  -0.000000,  -0.000000,  -0.228843,   0.000000,  -0.000000,   14.0000,    0.1538
    0.000,     0.000,   0.815330,   0.029990,   0.014655,   0.044645,  -0.000000,  -0.000000,  -0.225986,   0.000000,   0.000000,   14.0000,    0.1493
